Job Title,Count
Charity fundraiser,17
"Research officer, trade union",17
"Designer, fashion/clothing",15
Chief Marketing Officer,16
"Civil engineer, contracting",16
General practice doctor,11
Manufacturing engineer,20
Aid worker,14
Hydrographic surveyor,22
Location manager,22
"Geneticist, molecular",14
"Therapist, music",21
Arts administrator,23
Applications developer,16
Curator,17
Television camera operator,26
Financial planner,14
Civil Service administrator,11
"Teacher, special educational needs",17
Automotive engineer,12
Chartered legal executive (England and Wales),15
Oceanographer,10
Orthoptist,19
Operational investment banker,17
Graphic designer,13
Retail merchandiser,15
"Education officer, environmental",21
Midwife,17
"Pharmacist, hospital",18
Science writer,18
Corporate investment banker,17
Community pharmacist,20
Museum/gallery curator,12
Mental health nurse,15
Forensic scientist,18
Tourist information centre manager,22
Bonds trader,18
Agricultural consultant,26
Secretary/administrator,23
Insurance risk surveyor,14
Chemical engineer,14
Aeronautical engineer,13
Corporate treasurer,18
Land,14
Advertising account executive,19
Biomedical scientist,13
"Administrator, sports",20
Manufacturing systems engineer,12
Chiropodist,13
Occupational hygienist,20
Database administrator,16
Energy engineer,16
Data scientist,19
Further education lecturer,8
Nature conservation officer,19
Commercial art gallery manager,15
"Engineer, civil (contracting)",16
Actor,10
Higher education careers adviser,16
"Doctor, hospital",20
Naval architect,17
Probation officer,27
Production engineer,12
Ceramics designer,12
"Journalist, newspaper",15
Personal assistant,17
Software engineer,18
Music therapist,12
Press sub,7
Toxicologist,14
Visual merchandiser,21
Interpreter,14
Product/process development scientist,11
Insurance broker,12
Consulting civil engineer,17
Teaching laboratory technician,11
Claims inspector/assessor,13
"Engineer, water",11
Museum/gallery conservator,19
"Psychologist, counselling",13
"Engineer, production",14
Associate Professor,15
Control and instrumentation engineer,16
"Copywriter, advertising",22
Psychiatric nurse,12
"Designer, television/film set",10
Computer games developer,15
Actuary,16
"Librarian, public",22
"Radiographer, diagnostic",24
"Pilot, airline",14
TEFL teacher,15
Nutritional therapist,14
Hydrogeologist,16
Seismic interpreter,14
Broadcast presenter,18
Set designer,16
Health visitor,13
Homeopath,14
"Civil engineer, consulting",22
Politician's assistant,13
Dramatherapist,15
Public librarian,18
"Scientist, marine",12
Diplomatic Services operational officer,14
Land/geomatics surveyor,14
Electrical engineer,13
"Designer, exhibition/display",9
Archivist,15
Patent examiner,14
"Teacher, secondary school",15
Geochemist,17
Cabin crew,13
Barrister's clerk,20
"Therapist, horticultural",20
"Engineer, maintenance",10
Banker,12
Analytical chemist,20
Sales promotion account executive,11
Film/video editor,30
"Geologist, wellsite",21
Architect,13
Mechanical engineer,17
"Engineer, agricultural",12
"Teacher, English as a foreign language",18
Chartered certified accountant,14
Wellsite geologist,28
Brewing technologist,17
"Surveyor, rural practice",12
Multimedia programmer,16
"Producer, television/film/video",17
Writer,25
Minerals surveyor,16
"Programmer, applications",16
"Engineer, mining",17
Outdoor activities/education manager,14
Financial controller,15
Clinical cytogeneticist,14
Financial trader,12
"Sales professional, IT",21
Tax adviser,10
"Restaurant manager, fast food",13
Medical illustrator,13
Quality manager,15
Clinical embryologist,21
Museum education officer,19
Trade mark attorney,17
Prison officer,18
"Radiographer, therapeutic",18
"Administrator, local government",18
Artist,12
"Research officer, political party",16
Recycling officer,20
"Education officer, museum",19
Ambulance person,11
Music tutor,17
Photographer,14
Human resources officer,20
English as a foreign language teacher,16
Stage manager,16
Diagnostic radiographer,17
"Investment banker, corporate",19
Tax inspector,22
"Therapist, speech and language",9
Electronics engineer,16
"Nurse, adult",19
Armed forces logistics/support/administrative officer,19
"Engineer, land",14
Counselling psychologist,9
"Therapist, drama",16
Lawyer,13
Contractor,14
English as a second language teacher,14
Legal secretary,13
Medical sales representative,21
Soil scientist,21
Accommodation manager,12
Forest/woodland manager,19
"Scientist, clinical (histocompatibility and immunogenetics)",17
"Surveyor, land/geomatics",16
"Surveyor, mining",12
Product manager,12
Counsellor,26
Market researcher,11
Magazine journalist,19
Product designer,10
Adult nurse,11
Local government officer,11
Television floor manager,10
"Geologist, engineering",10
Audiological scientist,16
IT consultant,18
Magazine features editor,16
"Scientist, forensic",21
"Nurse, children's",14
"Designer, ceramics/pottery",17
"Engineer, civil (consulting)",11
Conference centre manager,17
"Accountant, chartered management",20
Geoscientist,18
Community development worker,12
Radio producer,15
"Scientist, research (maths)",23
Exercise physiologist,8
Network engineer,21
Public relations officer,15
"Editor, magazine features",11
Warehouse manager,14
Cytogeneticist,12
Petroleum engineer,26
"Engineer, materials",16
Pensions consultant,25
Careers information officer,15
Tour manager,11
Theme park manager,20
Purchasing manager,17
Cartographer,15
"Merchandiser, retail",17
Chief of Staff,17
Environmental manager,10
Education administrator,17
Arts development officer,13
"Lecturer, higher education",11
Data processing manager,10
Research scientist (maths),17
Bookseller,17
Production manager,15
Air broker,16
Farm manager,12
Hydrologist,11
Horticultural consultant,22
Best boy,13
"Surveyor, commercial/residential",16
Merchant navy officer,18
"Nurse, learning disability",22
Insurance underwriter,16
Systems developer,14
Secondary school teacher,14
Clinical psychologist,13
"Biochemist, clinical",19
Heritage manager,19
Senior tax professional/tax inspector,13
Pathologist,19
Sports development officer,20
Animator,18
Editorial assistant,16
Lexicographer,18
"Engineer, biomedical",17
Equality and diversity officer,11
Hospital pharmacist,15
Herpetologist,21
Legal executive,19
"Sound technician, broadcasting/film/video",9
IT trainer,16
Trading standards officer,19
"Designer, blown glass/stained glass",17
Forensic psychologist,10
Marketing executive,20
Dance movement psychotherapist,17
"Psychologist, clinical",15
Speech and language therapist,14
"Engineer, site",12
Personnel officer,14
Art gallery manager,11
"Scientist, product/process development",16
Ophthalmologist,12
Public house manager,19
Learning mentor,13
Hospital doctor,11
"Horticulturist, amenity",19
Games developer,16
Armed forces technical officer,17
Water engineer,16
Sales executive,10
Catering manager,20
Operations geologist,16
Learning disability nurse,11
Physiological scientist,14
Armed forces operational officer,20
"Designer, furniture",13
Chartered public finance accountant,18
Chief Financial Officer,5
Camera operator,13
Museum/gallery exhibitions officer,21
"Scientist, water quality",12
Environmental consultant,14
Statistician,8
Microbiologist,14
Travel agency manager,15
"Physicist, medical",15
Dancer,17
Theatre stage manager,15
"Programme researcher, broadcasting/film/video",14
Art therapist,14
Dispensing optician,12
Advice worker,15
Architectural technologist,21
Surgeon,13
Primary school teacher,9
Scientific laboratory technician,13
Immunologist,13
"Engineer, building services",13
"Engineer, drilling",19
Social researcher,9
Advertising art director,16
Television/film/video producer,21
Ship broker,13
Sport and exercise psychologist,12
Licensed conveyancer,12
Geophysical data processor,9
Trade union research officer,19
Research scientist (physical sciences),11
Emergency planning/management officer,17
Pension scheme manager,16
Neurosurgeon,20
Horticultural therapist,11
Logistics and distribution manager,10
Medical laboratory scientific officer,12
Risk manager,15
Acupuncturist,11
"Embryologist, clinical",17
Chief Executive Officer,16
Careers adviser,19
"Scientist, audiological",18
"Engineer, manufacturing",18
"Production assistant, radio",18
Chief Technology Officer,14
"Administrator, education",10
"Surveyor, hydrographic",15
"Engineer, manufacturing systems",14
Arboriculturist,14
Office manager,15
"Teacher, primary school",16
Press photographer,10
Advertising copywriter,17
Geophysicist/field seismologist,14
"Investment banker, operational",18
Contracting civil engineer,12
Printmaker,18
"Administrator, Civil Service",12
Financial manager,25
Energy manager,10
Commercial horticulturist,15
Chartered accountant,13
Warden/ranger,11
Building control surveyor,12
Private music teacher,18
"Loss adjuster, chartered",22
Technical author,14
Environmental education officer,11
Civil Service fast streamer,16
Adult guidance worker,18
Historic buildings inspector/conservation officer,16
Commercial/residential surveyor,13
"Lighting technician, broadcasting/film/video",10
Field trials officer,17
Hotel manager,14
Operational researcher,10
"Clinical scientist, histocompatibility and immunogenetics",17
Tourism officer,14
Oncologist,10
Furniture designer,19
Ergonomist,21
Waste management officer,7
Academic librarian,13
"Engineer, maintenance (IT)",18
Meteorologist,15
Investment analyst,13
Clothing/textile technologist,12
Medical physicist,17
Rural practice surveyor,16
Agricultural engineer,14
Veterinary surgeon,12
Jewellery designer,14
Sports coach,13
Landscape architect,19
"Surveyor, minerals",20
Call centre manager,11
Proofreader,14
Video editor,24
Public relations account executive,13
Public affairs consultant,15
Make,9
"Engineer, technical sales",18
Garment/textile technologist,20
Passenger transport manager,12
Firefighter,18
Dietitian,15
Water quality scientist,18
Early years teacher,15
Professor Emeritus,17
Health and safety adviser,17
Translator,15
Immigration officer,13
"Editor, film/video",22
"Buyer, retail",13
Media buyer,15
"Administrator, arts",17
Comptroller,10
"Designer, textile",8
"Therapist, nutritional",18
Retail manager,17
Sports therapist,19
Field seismologist,18
"Engineer, petroleum",17
Astronomer,14
Drilling engineer,16
"Psychologist, educational",15
"Horticulturist, commercial",14
Publishing rights manager,9
Fashion designer,13
"Engineer, electronics",16
"Nurse, mental health",14
Musician,11
Theatre director,5
Company secretary,9
Information systems manager,26
Medical secretary,28
"Lecturer, further education",21
"Surveyor, building",12
Ecologist,13
"Therapist, occupational",13
"Engineer, communications",16
Financial risk analyst,13
Quarry manager,17
Industrial/product designer,11
Copy,20
"Psychologist, prison and probation services",20
Air traffic controller,10
Leisure centre manager,19
Environmental health practitioner,13
Gaffer,8
Physiotherapist,9
Futures trader,11
Financial adviser,17
"Optician, dispensing",15
Illustrator,20
Exhibition designer,27
Youth worker,9
Government social research officer,11
"Accountant, chartered public finance",13
Sub,16
Fish farm manager,7
"Engineer, structural",14
Insurance claims handler,10
Colour technologist,12
"Psychologist, sport and exercise",14
Publishing copy,12
IT sales professional,12
Occupational psychologist,15
Health service manager,10
Radiation protection practitioner,18
Glass blower/designer,14
Chief Strategy Officer,19
"Engineer, energy",15
Holiday representative,5
Information officer,18
Estate agent,11
